"008901102","008901",73,565,771,485,1200,40,1600,565,35,31.3,.,.,.,31,.,25,286,8.7,263,133,24,"O'BRYANT INT","REGION 06: HUNTSVILLE","008","BELLVILLE ISD","06","AUSTIN","04","05","E","04 - 05",30,11.4,50.6,9.1,.," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",.,60,32,28,12,"M","Y","Y","Y","Y","0","0","1","0","0"," ","0"
"008901105","008901",83,184,221,212,400,53,800,337,42,49,.,.,.,49,.,14,135,10.4,157,57,8,"WEST END EL","REGION 06: HUNTSVILLE","008","BELLVILLE ISD","06","AUSTIN","KG","05","E","KG - 05",13,8.3,36.3,5.1,.," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",.,60,32,28,12,"M","Y","Y","Y","Y","1","0","0","0","0"," ","0"
"008902001","008902",74,899,1213,292,1000,29,2400,959,40,13.1,24,19.9,15.3,72,.,112,913,12.3,845,431,62,"SEALY H S","REGION 06: HUNTSVILLE","008","SEALY ISD","06","AUSTIN","09","12","S","09 - 12",54,6.4,51,7.3,0," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",0,60,17,30,60,"M","Y","Y","Y","Y","1","0","1","1","1","0","0"
"008902041","008902",72,1301,1819,494,1400,35,2400,814,34,34.5,.,.,.,35,.,60,680,8.8,616,341,61,"SEALY J H","REGION 06: HUNTSVILLE","008","SEALY ISD","06","AUSTIN","06","08","M","06 - 08",61,9.9,55.4,9.9,0," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",0,60,30,26,13,"M","Y","Y","Y","Y","0","0","1","0","0","0","0"
"008902102","008902",68,292,431,213,600,36,800,300,38,28.7,.,.,.,29,.,74,712,10.4,950,618,72,"SELMAN EL","REGION 06: HUNTSVILLE","008","SEALY ISD","06","AUSTIN","EE","03","E","EE - 03",223,23.5,65.1,7.6,.," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",.,60,32,28,12,"M","Y","Y","Y","Y","0","0","0","0"," "," ","0"
"008902103","008902",70,807,1161,574,1200,48,2000,680,34,34,.,.,.,34,.,43,400,10.8,402,250,46,"SELMAN INT","REGION 06: HUNTSVILLE","008","SEALY ISD","06","AUSTIN","04","05","E","04 - 05",61,15.2,62.2,11.4,.," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",.,60,32,28,12,"M","Y","Y","Y","Y","1","0","0","1","1"," ","0"
"008903001","008903",79,271,342,193,600,32,800,376,47,17.2,24.1,22.7,12.8,77,.,22,245,9,236,133,18,"BRAZOS H S","REGION 06: HUNTSVILLE","008","BRAZOS ISD","06","AUSTIN","09","12","S","09 - 12",13,5.5,56.4,7.6,0," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",0,60,17,30,60,"M","Y","Y","Y","Y","1","1","1","1","0","0","0"
"008903041","008903",82,396,482,356,800,45,1400,629,45,43,.,.,.,43,.,15,179,8.4,176,91,12,"BRAZOS MIDDLE","REGION 06: HUNTSVILLE","008","BRAZOS ISD","06","AUSTIN","06","08","M","06 - 08",23,13.1,51.7,6.8,0," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",0,60,30,26,13,"M","Y","Y","Y","Y","1","1","0","1","1","0","0"
"008903102","008903",70,305,435,288,800,36,1400,491,35,36.3,.,.,.,36,.,35,327,10.7,337,226,23,"BRAZOS EL","REGION 06: HUNTSVILLE","008","BRAZOS ISD","06","AUSTIN","EE","05","E","EE - 05",71,21.1,67.1,6.8,.," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",.,60,32,28,12,"M","Y","Y","Y","Y","0","0","0","0","1"," ","0"
"008903103","008903",0,0,2,.,0,.,0,.,.,.,.,.,.,.,.,86,94,91.5,50,50,28,"PRAIRIE HARBOR ALTERNATIVE SCHOOL","REGION 06: HUNTSVILLE","008","BRAZOS ISD","06","AUSTIN","06","12","B","06 - 12",0,0,100,56,0," ","N","N","N","N","N","N","N","N","N","N","Y"," "," ",0,60,17,30,.,"X","X","X","X","X"," "," "," "," "," "," "," "
"009901001","009901",72,401,554,126,400,32,800,381,48,14.1,25,18.5,25,83,.,42,381,11,354,248,38,"MULESHOE H S","REGION 17: LUBBOCK","009","MULESHOE ISD","17","BAILEY","09","12","S","09 - 12",21,5.9,70.1,10.7,0," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",0,60,17,30,60,"M","Y","Y","Y","Y","1","1","0","1","0","1","1"
"009901002","009901",.,4,7,.,0,.,200,60,30,.,100,.,.,100,.,15,21,71.4,19,19,2,"P E P","REGION 17: LUBBOCK","009","MULESHOE ISD","17","BAILEY","09","12","S","09 - 12",0,0,100,10.5,0,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","N","N","N"," "," ",0,35,8,13,45,"Z","Z","Z","Z","Z"," "," "," "," "," "," "," "
"009901041","009901",74,635,863,360,1000,36,2000,786,39,33.3,.,.,.,33,.,31,308,10.1,309,253,43,"WATSON J H","REGION 17: LUBBOCK","009","MULESHOE ISD","17","BAILEY","06","08","M","06 - 08",40,12.9,81.9,13.9,0," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",0,60,30,26,13,"M","Y","Y","Y","Y","0","1","0","1","0","0","1"
"009901101","009901",66,583,885,380,1000,38,1600,558,35,30.7,.,.,.,31,.,41,367,11.2,349,293,48,"MARY DESHAZO EL","REGION 17: LUBBOCK","009","MULESHOE ISD","17","BAILEY","03","05","E","03 - 05",71,20.3,84,13.8,.," ","N","N","N","N","N","N","N","N","N","Y","N"," "," ",.,60,32,28,12,"M","Y","Y","Y","Y","0","0","0","0","0"," ","0"
"009901103","009901",.,.,.,.,0,.,0,.,.,.,.,.,.,.,.,33,251,13.1,419,370,49,"DILLMAN EL","REGION 17: LUBBOCK","009","MULESHOE ISD","17","BAILEY","EE","02","E","EE - 02",147,35.1,88.3,11.7,.," ","N","N","N","N","N","N","N","Y","N","N","N","009901101","MARY DESHAZO EL",.,.,.,.,.,"M","P","P","P","P"," "," "," "," "," "," "," "
"010901001","010901",71,310,434,172,600,29,1000,349,35,7.9,25,20.5,14.7,68,.,68,283,24,298,184,30,"MEDINA SCHOOL","REGION 20: SAN ANTONIO","010","MEDINA ISD","20","BANDERA","EE","12","B","EE - 12",7,2.3,61.7,10.1,0," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",0,60,17,30,60,"M","Y","Y","Y","Y","0","0","0","0","1","0","0"
"010902001","010902",79,704,886,132,600,22,1600,705,44,14.5,24.5,17.7,23.1,80,.,129,757,17,673,305,57,"BANDERA H S","REGION 20: SAN ANTONIO","010","BANDERA ISD","20","BANDERA","09","12","S","09 - 12",5,0.7,45.3,8.5,0," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",0,60,17,30,60,"M","Y","Y","Y","Y","0","0","1","1","1","1","1"
"010902041","010902",73,1035,1411,322,1000,32,2000,757,38,39,.,.,.,39,.,73,525,13.9,512,267,68,"BANDERA MIDDLE","REGION 20: SAN ANTONIO","010","BANDERA ISD","20","BANDERA","06","08","M","06 - 08",15,2.9,52.1,13.3,0," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",0,60,30,26,13,"M","Y","Y","Y","Y","0","0","1","0","1","0","0"
"010902101","010902",76,482,633,457,1000,46,1400,541,39,38.3,.,.,.,38,.,90,477,18.9,554,344,65,"ALKEK EL","REGION 20: SAN ANTONIO","010","BANDERA ISD","20","BANDERA","EE","05","E","EE - 05",43,7.8,62.1,11.7,.," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",.,60,32,28,12,"M","Y","Y","Y","Y","0","0","0","0","0"," ","1"
"010902102","010902",69,420,610,400,800,50,1400,559,40,30.7,.,.,.,31,.,76,458,16.6,507,289,55,"HILL COUNTRY EL","REGION 20: SAN ANTONIO","010","BANDERA ISD","20","BANDERA","PK","05","E","PK - 05",22,4.3,57,10.8,.," ","N","N","N","N","N","N","N","N","N","N","N"," "," ",.,60,32,28,12,"M","Y","Y","Y","Y","1","0","0","0","0"," ","0"
